run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,wall,23648539,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,client_setup,200830,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,write_chunks,21157661,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,final_tx,1087954,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,total_deploy,23212361,2892224
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,wall,22105559,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,300882,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,write_chunks,19570778,1866
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,final_tx,810810,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,total_deploy,21788104,2892224
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,wall,8334937,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,client_setup,200720,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,write_chunks,6460735,501
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,final_tx,805926,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,total_deploy,7969764,1382016
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,wall,8809283,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,client_setup,300908,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,write_chunks,6521370,501
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,final_tx,204201,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,total_deploy,8394974,1382016
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,wall,4901547,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,client_setup,300947,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,write_chunks,2329869,108
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,final_tx,802940,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,total_deploy,4537485,108600
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,wall,5436726,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,client_setup,200773,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,write_chunks,2439172,108
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,final_tx,1329881,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,total_deploy,5072848,108600
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,tpu_next,jupiter-v6,2892224,success,wall,22999379,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,tpu_next,jupiter-v6,2892224,success,client_setup,200499,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,tpu_next,jupiter-v6,2892224,success,write_chunks,20515632,1866
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,tpu_next,jupiter-v6,2892224,success,final_tx,810238,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,tpu_next,jupiter-v6,2892224,success,total_deploy,22632911,2892224
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,wall,22514234,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,client_setup,300820,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,write_chunks,19980435,1866
