run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,wall,22829712,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,301373,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,first_send,101056,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,send_phase,18652548,1866
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_rounds,3,35
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resent_txs,105,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_time,1022489,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,confirm_phase,1022588,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,write_chunks,19830351,1866
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,final_tx,809737,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,total_deploy,22048094,2892224
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,wall,22446364,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,client_setup,200998,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,first_send,4,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,send_phase,18651206,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,114
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resent_txs,114,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_time,1131080,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,confirm_phase,1131155,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,write_chunks,19960913,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,quic_sent,1979,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,final_tx,810638,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,total_deploy,22080805,2892224
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,wall,10049440,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,client_setup,1313194,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,first_send,101756,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,send_phase,5001423,501
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,resend_rounds,4,98
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,resent_txs,143,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,resend_time,1394056,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,confirm_phase,1394161,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,write_chunks,6511406,501
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,final_tx,805171,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,total_deploy,9734884,1382016
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,wall,8645465,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,client_setup,200824,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,first_send,3,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,send_phase,5000890,501
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,resend_rounds,1,112
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,resent_txs,112,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,resend_time,1111343,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,confirm_phase,1111410,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,write_chunks,6220542,501
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,quic_sent,612,501
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,final_tx,805962,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token-2022,1382016,success,total_deploy,8331461,1382016
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,wall,4625678,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,client_setup,200872,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,first_send,5,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,send_phase,1071451,108
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,resend_rounds,2,50
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,resent_txs,50,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,resend_time,491021,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,confirm_phase,1031225,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,write_chunks,2205064,108
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,quic_sent,158,108
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,final_tx,802854,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,token,108600,success,total_deploy,4312580,108600
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,wall,5462586,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,client_setup,301117,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,first_send,101241,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,send_phase,1071941,108
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,resend_rounds,2,108
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,resent_txs,120,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,resend_time,1182843,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,confirm_phase,1182907,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,write_chunks,2627026,108
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,final_tx,802907,0
0,d25_l1,delay 25ms loss random 1%,baseline,token,108600,success,total_deploy,5099565,108600
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,wall,22517846,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,client_setup,301237,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,first_send,101093,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,send_phase,18653197,1866
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,resend_rounds,2,44
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,resent_txs,88,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,resend_time,861437,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,confirm_phase,861501,0
0,burst_l1,delay 25ms loss gemodel 0.1% 10% 70% 0.05%,baseline,jupiter-v6,2892224,success,write_chunks,19670024,1866
