run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,clean,,baseline,jupiter-v6,2892224,success,wall,21140539,0
0,clean,,baseline,jupiter-v6,2892224,success,client_setup,486,0
0,clean,,baseline,jupiter-v6,2892224,success,first_send,1209,0
0,clean,,baseline,jupiter-v6,2892224,success,send_phase,18653135,1866
0,clean,,baseline,jupiter-v6,2892224,success,resend_rounds,11,90
0,clean,,baseline,jupiter-v6,2892224,success,resent_txs,150,0
0,clean,,baseline,jupiter-v6,2892224,success,resend_time,1401875,0
0,clean,,baseline,jupiter-v6,2892224,success,confirm_phase,1402088,0
0,clean,,baseline,jupiter-v6,2892224,success,write_chunks,20109678,1866
0,clean,,baseline,jupiter-v6,2892224,success,final_tx,511419,0
0,clean,,baseline,jupiter-v6,2892224,success,total_deploy,21125314,2892224
0,clean,,tpu_next,jupiter-v6,2892224,success,wall,20641935,0
0,clean,,tpu_next,jupiter-v6,2892224,success,client_setup,354,0
0,clean,,tpu_next,jupiter-v6,2892224,success,first_send,3,0
0,clean,,tpu_next,jupiter-v6,2892224,success,send_phase,18651975,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,94
0,clean,,tpu_next,jupiter-v6,2892224,success,resent_txs,94,0
0,clean,,tpu_next,jupiter-v6,2892224,success,resend_time,931214,0
0,clean,,tpu_next,jupiter-v6,2892224,success,confirm_phase,931288,0
0,clean,,tpu_next,jupiter-v6,2892224,success,write_chunks,19611020,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,final_tx,510424,0
0,clean,,tpu_next,jupiter-v6,2892224,success,total_deploy,20626489,2892224
0,clean,,baseline,token-2022,1382016,success,wall,7450302,0
0,clean,,baseline,token-2022,1382016,success,client_setup,555,0
0,clean,,baseline,token-2022,1382016,success,first_send,939,0
0,clean,,baseline,token-2022,1382016,success,send_phase,5001528,501
0,clean,,baseline,token-2022,1382016,success,resend_rounds,1,142
0,clean,,baseline,token-2022,1382016,success,resent_txs,142,0
0,clean,,baseline,token-2022,1382016,success,resend_time,1411117,0
0,clean,,baseline,token-2022,1382016,success,confirm_phase,1411196,0
0,clean,,baseline,token-2022,1382016,success,write_chunks,6428317,501
0,clean,,baseline,token-2022,1382016,success,final_tx,505881,0
0,clean,,baseline,token-2022,1382016,success,total_deploy,7437839,1382016
0,clean,,tpu_next,token-2022,1382016,success,wall,7426109,0
0,clean,,tpu_next,token-2022,1382016,success,client_setup,445,0
0,clean,,tpu_next,token-2022,1382016,success,first_send,3,0
0,clean,,tpu_next,token-2022,1382016,success,send_phase,5002180,501
0,clean,,tpu_next,token-2022,1382016,success,resend_rounds,1,140
0,clean,,tpu_next,token-2022,1382016,success,resent_txs,140,0
0,clean,,tpu_next,token-2022,1382016,success,resend_time,1391854,0
0,clean,,tpu_next,token-2022,1382016,success,confirm_phase,1391942,0
0,clean,,tpu_next,token-2022,1382016,success,write_chunks,6401960,501
0,clean,,tpu_next,token-2022,1382016,success,final_tx,506386,0
0,clean,,tpu_next,token-2022,1382016,success,total_deploy,7413844,1382016
0,clean,,tpu_next,token,108600,success,wall,3203956,0
0,clean,,tpu_next,token,108600,success,client_setup,513,0
0,clean,,tpu_next,token,108600,success,first_send,3,0
0,clean,,tpu_next,token,108600,success,send_phase,1071107,108
0,clean,,tpu_next,token,108600,success,resend_rounds,3,38
0,clean,,tpu_next,token,108600,success,resent_txs,114,0
0,clean,,tpu_next,token,108600,success,resend_time,1113469,0
0,clean,,tpu_next,token,108600,success,confirm_phase,1113581,0
0,clean,,tpu_next,token,108600,success,write_chunks,2186655,108
0,clean,,tpu_next,token,108600,success,final_tx,502831,0
0,clean,,tpu_next,token,108600,success,total_deploy,3192697,108600
0,clean,,baseline,token,108600,success,wall,3205054,0
0,clean,,baseline,token,108600,success,client_setup,511,0
0,clean,,baseline,token,108600,success,first_send,953,0
0,clean,,baseline,token,108600,success,send_phase,1070746,108
0,clean,,baseline,token,108600,success,resend_rounds,3,38
0,clean,,baseline,token,108600,success,resent_txs,114,0
0,clean,,baseline,token,108600,success,resend_time,1113682,0
0,clean,,baseline,token,108600,success,confirm_phase,1113779,0
0,clean,,baseline,token,108600,success,write_chunks,2188300,108
0,clean,,baseline,token,108600,success,final_tx,502354,0
0,clean,,baseline,token,108600,success,total_deploy,3193146,108600
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,wall,22506606,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,301057,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,first_send,101325,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,send_phase,18653529,1866
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_rounds,3,38
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resent_txs,114,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_time,1113244,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,confirm_phase,1113355,0
