run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,wall,27553870,0
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,client_setup,802462,0
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,first_send,7,0
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,send_phase,18651865,1866
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,resend_rounds,3,185
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,resent_txs,253,0
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,confirm_phase,2504471,0
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,write_chunks,21790048,1866
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,final_tx,1716799,0
0,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,total_deploy,26321125,2892224
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,wall,25626722,0
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,client_setup,1202008,0
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,first_send,401476,0
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,send_phase,18653836,1866
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,resend_rounds,1,127
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,resent_txs,127,0
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,confirm_phase,1260707,0
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,write_chunks,20374492,1866
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,final_tx,816320,0
0,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,total_deploy,24400180,2892224
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,wall,18893087,0
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,client_setup,807278,0
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,first_send,374,0
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,send_phase,5005203,501
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,resend_rounds,7,185
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,resent_txs,485,0
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,confirm_phase,4803437,0
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,write_chunks,10253469,501
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,final_tx,2652547,0
0,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,total_deploy,17613686,1382016
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,wall,16612747,0
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,client_setup,1223777,0
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,first_send,406497,0
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,send_phase,5001889,501
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,resend_rounds,1,121
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,resent_txs,121,0
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,confirm_phase,1201415,0
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,write_chunks,6714664,501
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,final_tx,1709001,0
0,d100_l0,delay 100ms,baseline,token-2022,1382016,success,total_deploy,15316560,1382016
0,d100_l0,delay 100ms,baseline,token,108600,success,wall,8615033,0
0,d100_l0,delay 100ms,baseline,token,108600,success,client_setup,1203204,0
0,d100_l0,delay 100ms,baseline,token,108600,success,first_send,401799,0
0,d100_l0,delay 100ms,baseline,token,108600,success,send_phase,1071428,108
0,d100_l0,delay 100ms,baseline,token,108600,success,resend_rounds,2,108
0,d100_l0,delay 100ms,baseline,token,108600,success,resent_txs,192,0
0,d100_l0,delay 100ms,baseline,token,108600,success,confirm_phase,1902781,0
0,d100_l0,delay 100ms,baseline,token,108600,success,write_chunks,3380155,108
0,d100_l0,delay 100ms,baseline,token,108600,success,final_tx,804125,0
0,d100_l0,delay 100ms,baseline,token,108600,success,total_deploy,7395149,108600
0,d100_l0,delay 100ms,tpu_next,token,108600,success,wall,10837410,0
0,d100_l0,delay 100ms,tpu_next,token,108600,success,client_setup,801242,0
0,d100_l0,delay 100ms,tpu_next,token,108600,success,first_send,3,0
0,d100_l0,delay 100ms,tpu_next,token,108600,success,send_phase,1071428,108
0,d100_l0,delay 100ms,tpu_next,token,108600,success,resend_rounds,811,108
0,d100_l0,delay 100ms,tpu_next,token,108600,success,resent_txs,978,0
0,d100_l0,delay 100ms,tpu_next,token,108600,success,confirm_phase,2533566,0
0,d100_l0,delay 100ms,tpu_next,token,108600,success,write_chunks,4007659,108
0,d100_l0,delay 100ms,tpu_next,token,108600,success,final_tx,1705591,0
0,d100_l0,delay 100ms,tpu_next,token,108600,success,total_deploy,9422021,108600
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,wall,22679931,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,client_setup,201281,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,first_send,8,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,send_phase,18652142,1866
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,resend_rounds,5,116
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,resent_txs,144,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,confirm_phase,1396267,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,write_chunks,20180070,1866
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,final_tx,817425,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,jupiter-v6,2892224,success,total_deploy,22309258,2892224
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,wall,23555400,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,client_setup,303391,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,first_send,101969,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,send_phase,18654137,1866
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,resend_rounds,3,72
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,resent_txs,216,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,confirm_phase,2133353,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,write_chunks,20948960,1866
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,final_tx,814978,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,jupiter-v6,2892224,success,total_deploy,23179774,2892224
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,wall,12330583,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,client_setup,202119,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,first_send,5,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,send_phase,5001696,501
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,resend_rounds,8,333
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,resent_txs,475,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,confirm_phase,4678517,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,write_chunks,9842692,501
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,final_tx,807224,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token-2022,1382016,success,total_deploy,11962094,1382016
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,wall,9082014,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,client_setup,302669,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,first_send,102021,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,send_phase,5001599,501
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,resend_rounds,1,110
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,resent_txs,110,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,confirm_phase,1091039,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,write_chunks,6212248,501
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,final_tx,809083,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token-2022,1382016,success,total_deploy,8713199,1382016
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,wall,17357674,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,client_setup,1916810,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,first_send,6,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,send_phase,1071427,108
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,resend_rounds,718,108
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,resent_txs,865,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,confirm_phase,2235471,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,write_chunks,3411219,108
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,final_tx,805778,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,tpu_next,token,108600,success,total_deploy,16889679,108600
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,wall,4557341,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,client_setup,302613,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,first_send,101844,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,send_phase,1071610,108
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,resend_rounds,4,37
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,resent_txs,148,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,confirm_phase,1445027,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,write_chunks,2622624,108
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,final_tx,805240,0
0,burst_l3,delay 25ms loss gemodel 0.2% 10% 70% 0.1%,baseline,token,108600,success,total_deploy,4236894,108600
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,wall,27253473,0
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,client_setup,801778,0
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,first_send,6,0
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,send_phase,18652769,1866
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,resend_rounds,12,101
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,resent_txs,252,0
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,confirm_phase,2414914,0
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,write_chunks,21500091,1866
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,final_tx,1719264,0
1,d100_l0,delay 100ms,tpu_next,jupiter-v6,2892224,success,total_deploy,26031229,2892224
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,wall,28402262,0
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,client_setup,1202259,0
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,first_send,401706,0
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,send_phase,18653950,1866
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,resend_rounds,1,204
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,resent_txs,204,0
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,confirm_phase,2032094,0
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,write_chunks,21146825,1866
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,final_tx,1716199,0
1,d100_l0,delay 100ms,baseline,jupiter-v6,2892224,success,total_deploy,26977770,2892224
1,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,wall,14290051,0
1,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,client_setup,801851,0
1,d100_l0,delay 100ms,tpu_next,token-2022,1382016,success,first_send,5,0
