run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,clean,,baseline,jupiter-v6,2892224,success,wall,20582311,0
0,clean,,baseline,jupiter-v6,2892224,success,client_setup,19417,0
0,clean,,baseline,jupiter-v6,2892224,success,first_send,3671,0
0,clean,,baseline,jupiter-v6,2892224,success,send_phase,18652431,1866
0,clean,,baseline,jupiter-v6,2892224,success,resend_rounds,1,78
0,clean,,baseline,jupiter-v6,2892224,success,resent_txs,78,0
0,clean,,baseline,jupiter-v6,2892224,success,resend_time,770836,0
0,clean,,baseline,jupiter-v6,2892224,success,confirm_phase,770880,0
0,clean,,baseline,jupiter-v6,2892224,success,write_chunks,19479601,1866
0,clean,,baseline,jupiter-v6,2892224,success,final_tx,520593,0
0,clean,,baseline,jupiter-v6,2892224,success,total_deploy,20527527,2892224
0,clean,,tpu_next,jupiter-v6,2892224,success,wall,20621564,0
0,clean,,tpu_next,jupiter-v6,2892224,success,client_setup,484,0
0,clean,,tpu_next,jupiter-v6,2892224,success,first_send,4,0
0,clean,,tpu_next,jupiter-v6,2892224,success,send_phase,18651964,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,92
0,clean,,tpu_next,jupiter-v6,2892224,success,resent_txs,92,0
0,clean,,tpu_next,jupiter-v6,2892224,success,resend_time,910823,0
0,clean,,tpu_next,jupiter-v6,2892224,success,confirm_phase,910889,0
0,clean,,tpu_next,jupiter-v6,2892224,success,write_chunks,19591552,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,quic_sent,1957,1866
0,clean,,tpu_next,jupiter-v6,2892224,success,final_tx,509576,0
0,clean,,tpu_next,jupiter-v6,2892224,success,total_deploy,20606735,2892224
0,clean,,baseline,token-2022,1382016,success,wall,7432426,0
0,clean,,baseline,token-2022,1382016,success,client_setup,451,0
0,clean,,baseline,token-2022,1382016,success,first_send,879,0
0,clean,,baseline,token-2022,1382016,success,send_phase,5001082,501
0,clean,,baseline,token-2022,1382016,success,resend_rounds,1,140
0,clean,,baseline,token-2022,1382016,success,resent_txs,140,0
0,clean,,baseline,token-2022,1382016,success,resend_time,1390707,0
0,clean,,baseline,token-2022,1382016,success,confirm_phase,1390774,0
0,clean,,baseline,token-2022,1382016,success,write_chunks,6407740,501
0,clean,,baseline,token-2022,1382016,success,final_tx,505588,0
0,clean,,baseline,token-2022,1382016,success,total_deploy,7417381,1382016
0,clean,,tpu_next,token-2022,1382016,success,wall,7410653,0
0,clean,,tpu_next,token-2022,1382016,success,client_setup,584,0
0,clean,,tpu_next,token-2022,1382016,success,first_send,5,0
0,clean,,tpu_next,token-2022,1382016,success,send_phase,5001294,501
0,clean,,tpu_next,token-2022,1382016,success,resend_rounds,1,139
0,clean,,tpu_next,token-2022,1382016,success,resent_txs,139,0
0,clean,,tpu_next,token-2022,1382016,success,resend_time,1380832,0
0,clean,,tpu_next,token-2022,1382016,success,confirm_phase,1380916,0
0,clean,,tpu_next,token-2022,1382016,success,write_chunks,6390092,501
0,clean,,tpu_next,token-2022,1382016,success,quic_sent,639,501
0,clean,,tpu_next,token-2022,1382016,success,final_tx,505248,0
0,clean,,tpu_next,token-2022,1382016,success,total_deploy,7398382,1382016
0,clean,,tpu_next,token,108600,success,wall,3022416,0
0,clean,,tpu_next,token,108600,success,client_setup,579,0
0,clean,,tpu_next,token,108600,success,first_send,3,0
0,clean,,tpu_next,token,108600,success,send_phase,1070617,108
0,clean,,tpu_next,token,108600,success,resend_rounds,2,39
0,clean,,tpu_next,token,108600,success,resent_txs,39,0
0,clean,,tpu_next,token,108600,success,resend_time,381732,0
0,clean,,tpu_next,token,108600,success,confirm_phase,931735,0
0,clean,,tpu_next,token,108600,success,write_chunks,2004365,108
0,clean,,tpu_next,token,108600,success,quic_sent,147,108
0,clean,,tpu_next,token,108600,success,final_tx,502960,0
0,clean,,tpu_next,token,108600,success,total_deploy,3010712,108600
0,clean,,baseline,token,108600,success,wall,3208868,0
0,clean,,baseline,token,108600,success,client_setup,498,0
0,clean,,baseline,token,108600,success,first_send,978,0
0,clean,,baseline,token,108600,success,send_phase,1071297,108
0,clean,,baseline,token,108600,success,resend_rounds,3,38
0,clean,,baseline,token,108600,success,resent_txs,114,0
0,clean,,baseline,token,108600,success,resend_time,1114203,0
0,clean,,baseline,token,108600,success,confirm_phase,1114297,0
0,clean,,baseline,token,108600,success,write_chunks,2190107,108
0,clean,,baseline,token,108600,success,final_tx,502494,0
0,clean,,baseline,token,108600,success,total_deploy,3196206,108600
0,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,wall,27304694,0
0,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,1201247,0
0,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,first_send,401235,0
0,d100_l1,delay 100ms loss random 1%,baseline,jupiter-v6,2892224,success,send_phase,18652830,1866
